inf,8.529353150542079431e-01,7.292444642606199512e-01,5.983837328809380463e-01,nan,2.126095405499899282e-01,7.846555406613032746e-01,5.043128339031851537e-01,nan,1.870550449807429072e-01,6.568722048052270113e-01,nan,6.052818670119433087e-01,nan,nan,2.944260019012436280e-01,5.605512368566516468e-01,nan,nan,nan,nan,nan,5.080824295332921903e-01,4.647195468925068851e-01,1.942690439512783085e-01,2.228976939980494010e-01,nan,nan,4.241480674257862016e-01,1.801166068894269334e-01,3.471615859806311266e-01,3.655017281641322890e-01,5.972569595759729122e-01,5.194461254967889241e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.289201272345725569e+00,7.715193366175722156e-01,nan,nan,nan,nan,5.610224428128077756e-01,nan,nan,nan,nan,nan,nan,nan,2.407026990672380684e-01,4.060015402257174943e-01,3.493296928682961822e-01,2.404808569060955803e-01,1.533964017062635632e-01,2.709629415357238114e-01,2.823831036255742277e-01,3.377478101620834949e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.529353150542079431e-01,inf,6.336128939178304886e-01,7.717148761805123769e-01,nan,1.536320944887417661e-01,5.029679505870182643e-01,7.387593084319470371e-01,nan,2.213521785749998638e-01,4.727820493039381344e-01,nan,4.465395508442042694e-01,nan,nan,3.153547186837922234e-01,4.235539785750032094e-01,nan,nan,nan,nan,nan,5.215445051488744044e-01,5.292637403082545156e-01,2.034866115966976752e-01,1.978235785390038415e-01,nan,nan,2.818129953085095618e-01,3.792068856739242433e-01,3.620869925892891139e-01,3.933985589890144352e-01,6.154784986073821296e-01,6.202682388498848010e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.390377343893413942e-01,1.304791899857620674e+00,nan,nan,nan,nan,4.510645401162100554e-01,nan,nan,nan,nan,nan,nan,nan,3.158862045032450605e-01,4.006385097383212690e-01,3.047650596506270571e-01,2.912348558199726045e-01,2.161917020438152703e-01,1.779798515578506490e-01,3.646750858505967696e-01,3.704886164404374016e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.292444642606199512e-01,6.336128939178304886e-01,inf,9.291755604445651739e-01,nan,2.551257644746312003e-01,1.090471699890759316e+00,7.447410579331433800e-01,nan,2.367609543578580444e-01,4.835871500562800573e-01,nan,6.225057058174086055e-01,nan,nan,2.974048651507598118e-01,3.318755537572407599e-01,nan,nan,nan,nan,nan,9.930970809856588533e-01,8.504766602650921659e-01,2.809788771267222596e-01,2.775351616873983907e-01,nan,nan,3.141719580368014242e-01,1.885893128652496864e-01,4.080038748010024197e-01,4.387415846401139241e-01,5.663646836004407881e-01,5.477749929859079270e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.960629529842880192e-01,5.250271893084170749e-01,nan,nan,nan,nan,4.201805277668794747e-01,nan,nan,nan,nan,nan,nan,nan,3.419241263832303868e-01,4.609934250972664294e-01,3.245291470597514438e-01,2.455119588123716723e-01,2.301995816738885703e-01,2.396150836934880790e-01,3.649997452418011212e-01,4.008605922612701322e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.983837328809380463e-01,7.717148761805123769e-01,9.291755604445651739e-01,inf,nan,2.992468979250805794e-01,6.657316197373099875e-01,1.169438159365268515e+00,nan,3.392827144327338895e-01,4.146304464125608602e-01,nan,4.685875527249258599e-01,nan,nan,3.993306162657304093e-01,2.927877844548165687e-01,nan,nan,nan,nan,nan,8.704399632420642963e-01,1.009341754934701241e+00,3.138143230072867329e-01,3.268185605722794818e-01,nan,nan,2.757818749978805939e-01,3.043508421698248312e-01,4.755751587565921201e-01,5.458285360031313038e-01,5.710827177750325001e-01,6.324145259887345993e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.174049744831098474e-01,6.705616745463124362e-01,nan,nan,nan,nan,3.848882409668267779e-01,nan,nan,nan,nan,nan,nan,nan,3.612263041952017972e-01,4.910908265473414858e-01,3.320759824430559726e-01,3.188614074403857135e-01,2.700743394330544223e-01,2.584781848378636671e-01,3.778081880121267888e-01,4.009202714545053725e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.126095405499899282e-01,1.536320944887417661e-01,2.551257644746312003e-01,2.992468979250805794e-01,nan,inf,2.009417775895077918e-01,2.795781153281831632e-01,nan,7.547735642736858042e-01,1.486591577299942457e-01,nan,1.519466104411921481e-01,nan,nan,4.426441534758646656e-01,1.599629913995174180e-01,nan,nan,nan,nan,nan,2.768267483401041229e-01,3.261955046671202729e-01,6.607665758124283695e-01,7.501258177596215049e-01,nan,nan,1.561648571682540121e-01,1.728390655913547291e-01,3.525882941783495816e-01,3.090812353249902111e-01,2.288702984309621546e-01,2.482907625089754156e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.105621850490036751e-01,1.804992600626283139e-01,nan,nan,nan,nan,1.545614131620857701e-01,nan,nan,nan,nan,nan,nan,nan,1.909387738749819818e-01,2.173243576469010008e-01,1.800826295256247600e-01,1.722999965369618469e-01,1.146941928337074645e-01,1.765551306016250599e-01,1.486431797463187432e-01,1.604834957192186606e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.846555406613032746e-01,5.029679505870182643e-01,1.090471699890759316e+00,6.657316197373099875e-01,nan,2.009417775895077918e-01,inf,7.026492153953368680e-01,nan,2.080739276869187637e-01,5.513743324940660884e-01,nan,8.417405358795714276e-01,nan,nan,2.837354791501600637e-01,3.272801345042873344e-01,nan,nan,nan,nan,nan,6.714997393788260105e-01,5.894349608963733722e-01,1.650427510316935242e-01,1.864967512104132030e-01,nan,nan,3.419119602104270794e-01,1.287739310445591978e-01,3.433283623704767584e-01,3.511327033504014206e-01,4.787486598288310802e-01,4.799421766861786676e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.225052304964253658e-01,4.059694699157411213e-01,nan,nan,nan,nan,4.731876142412284048e-01,nan,nan,nan,nan,nan,nan,nan,2.999825963729469414e-01,4.019434381039525550e-01,3.711833404616265986e-01,2.665506472942328342e-01,2.001828803135950463e-01,3.036234160871892906e-01,3.244255719338311472e-01,3.893332486868016362e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.043128339031851537e-01,7.387593084319470371e-01,7.447410579331433800e-01,1.169438159365268515e+00,nan,2.795781153281831632e-01,7.026492153953368680e-01,inf,nan,4.215995245481767295e-01,4.368429250701507671e-01,nan,4.736648609586661673e-01,nan,nan,4.470530464494767986e-01,2.520359034633082307e-01,nan,nan,nan,nan,nan,6.564714493944411311e-01,7.356665892802698448e-01,2.442585608959541854e-01,2.625829136073061787e-01,nan,nan,2.377742009287290292e-01,3.703506677167687777e-01,4.154493172823822689e-01,4.801687635396407750e-01,5.373614391753533948e-01,6.204345623620759476e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.468895715502534394e-01,6.356111331843672385e-01,nan,nan,nan,nan,4.149371238129302419e-01,nan,nan,nan,nan,nan,nan,nan,3.735276775769348356e-01,4.193810882007301677e-01,3.370814756717315785e-01,3.571600861341421851e-01,2.863466506746287776e-01,2.713946837030288273e-01,3.994878889698254554e-01,3.998059537000028807e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.870550449807429072e-01,2.213521785749998638e-01,2.367609543578580444e-01,3.392827144327338895e-01,nan,7.547735642736858042e-01,2.080739276869187637e-01,4.215995245481767295e-01,nan,inf,1.868999914152297270e-01,nan,1.909245935201948630e-01,nan,nan,5.992387147887052734e-01,1.331265825914742795e-01,nan,nan,nan,nan,nan,2.793620017959966284e-01,3.453235073993888293e-01,5.285401342187239226e-01,5.367670966090379858e-01,nan,nan,1.590200013224578879e-01,2.673671892836530506e-01,3.356809319666778091e-01,3.417121884581875157e-01,1.959580139872912075e-01,2.387002648475494426e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.766443767959798017e-01,2.175965625372637269e-01,nan,nan,nan,nan,1.735360706375559670e-01,nan,nan,nan,nan,nan,nan,nan,2.152149299042647179e-01,2.368175765175445369e-01,1.922289098450993272e-01,1.941974329326006943e-01,1.239177654885243451e-01,1.422428809132477989e-01,1.635463938148356278e-01,1.589711332433539348e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
